,,,,,Construction_Field.yuv 3840x2160 (300 frames),,,,
Model,QP,Bitrate (kbps),YUV-PSNR (db),User time (s),System time (s),Real time (s),Total time (user+sys) (min),MS-SSIM,VMAF
CNN,22,324309.864,43.7881,53m10.604s,1m10.323s,51m9.568s,54.34878333,0.998876,99.857405
CNN,27,185381.7584,41.3692,38m50.473s,1m18.976s,36m41.919s,40.15748333,0.997751,99.076817
CNN,32,108943.416,38.9241,30m44.765s,1m5.693s,28m40.104s,31.84096667,0.983922,95.282253
CNN,37,63291.9776,36.3559,25m52.277s,1m24.803s, 23m20.657s,27.28466667,0.963209,82.305346
HEVC,22,318193.6288,43.8354, 182m58.448s, 0m24.831s,183m26.724s,183.3879833,0.998894,99.865186
HEVC,27,180347.4752,41.4145,154m27.792s,0m38.944s,155m9.027s,155.1122667,0.997771,99.101206
HEVC,32,105351,38.9842,136m23.081s,0m29.219s, 135m51.275s,136.8716667,0.984833,95.418275
HEVC,37,60702.2288,36.425,130m30.003s,0m30.769s,131m2.824s,131.0128667,0.968873,82.596709
,,,,,IntraValid_4928x3264 (25 frames),,,,
FasterViT,22,335224.104,43.8088,7m29.498s,0m11.237s,7m6.198s,7.678916667,0.996415,99.75496
FasterViT,27,187320.952,40.6593,5m4.767s, 0m9.389s,4m39.362s,5.235933333,0.992045,99.611345
FasterViT,32,109111.776,37.9673,4m10.918s, 0m8.897s,3m45.587s,4.33025,0.984926,99.352406
FasterViT,37,63760.392,35.2883,3m41.358s,0m9.638s,3m17.557s,3.849933333,0.972041,98.843459
CNN,22,337579.896,43.8159,8m7.729s,0m27.832s,8m3.728s,8.592683333,0.996425,99.754504
CNN,27,189066.656,40.6585, 5m22.489s, 0m11.199s,5m3.407s,5.561466667,0.992038,99.608362
CNN,32,110210.544,37.9608,4m16.962s,0m11.820s,3m59.379s,4.4797,0.984901,99.35186
CNN,37,64420.696,35.2764,3m43.080s, 0m10.757s,3m26.151s,3.897283333,0.971936,98.844843
HEVC,22,332843.176,43.8304,28m44.326s, 0m4.969s, 28m49.741s,28.82158333,0.996456,99.75767
HEVC,27,186341.96,40.6844,23m51.695s,0m4.517s,23m56.272s,23.93686667,0.992105,99.610416
HEVC,32,108294.536,37.9939,21m8.969s,21m8.969s,21m12.862s,42.29896667,0.985023,99.357207
HEVC,37,63049.968,35.3181, 19m21.762s,0m3.766s,19m25.578s,19.42546667,0.972197,98.846375
,,,,,Rush_Hour.yuv_3840x2160 (300 frames),,,,
FasterViT,22,69299.628,43.0659,29m41.068s,0m37.580s,26m48.677s,30.3108,0.994106,99.981339
FasterViT,27,39697.8887,41.8068,22m34.267s,0m34.655s,19m53.584s,23.1487,0.991064,99.070703
FasterViT,32,23534.244,40.2159,19m59.126s,0m32.956s, 17m21.544s,20.5347,0.985312,92.644887
FasterViT,37,14238.164,38.3351,18m30.832s, 0m33.611s,15m41.204s,19.07405,0.974452,80.876209
